Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2023Q4,ROBERTSON 100,9,5.44,5.85,6.25
2023Q4,ROBINSON SUITES,1,7.33,7.57,7.95
2023Q4,ROYALGREEN,10,6.79,6.89,7.19
2023Q4,RV ALTITUDE,9,7.63,8.06,8.84
2023Q4,RV EDGE,10,7.42,8.03,8.49
2023Q4,RV RESIDENCES,10,6.5,6.69,7.23
2023Q4,SANCTUARY GREEN,15,4.25,4.56,4.85
2023Q4,SANT RITZ,13,5.99,6.09,6.21
2023Q4,SAVANNAH CONDOPARK,18,3.48,3.66,3.76
2023Q4,SCOTTS SQUARE,9,7.61,8.01,8.53
2023Q4,SEA ESTA,18,3.73,4.2,4.93
2023Q4,SEAHILL,5,5.06,5.6,6.4
2023Q4,SEASCAPE,4,4.72,4.99,5.49
2023Q4,SEASIDE RESIDENCES,15,5.94,6.33,6.56
2023Q4,SEASONS PARK,26,3.17,3.37,3.57
2023Q4,SEASTRAND,18,3.98,4.39,4.99
2023Q4,SELETAR PARK RESIDENCE,28,3.99,4.17,4.67
2023Q4,SENNETT RESIDENCE,13,5.34,5.49,5.78
2023Q4,SEVENTY SAINT PATRICK'S,15,5.07,5.36,5.43
2023Q4,SHAW PLAZA - TWIN HEIGHTS,12,3.26,3.63,3.86
2023Q4,SIGLAP V,15,4.36,5.32,5.81
2023Q4,SIGNATURE PARK,21,3.31,3.57,3.73
2023Q4,SILVERSEA,15,5.15,5.43,5.8
2023Q4,SIMS URBAN OASIS,14,6.25,6.61,7.13
2023Q4,SIMSVILLE,14,3.94,4.34,4.44
2023Q4,SKIES MILTONIA,27,3.69,4.5,4.97
2023Q4,SKY EVERTON,2,7.63,8.09,8.65
2023Q4,SKY GREEN,13,5.13,6.23,6.56
2023Q4,SKY HABITAT,20,4.47,5.07,5.23
2023Q4,SKY VUE,20,5.57,6.12,6.61
2023Q4,SKY@ELEVEN,11,4.36,4.61,4.77
2023Q4,SKYLINE RESIDENCES,4,5.35,5.67,6.64
2023Q4,SKYSUITES@ANSON,2,7.86,8.54,8.79
2023Q4,SOLEIL @ SINARAN,11,6.38,6.78,7.06
2023Q4,SOMMERVILLE PARK,10,3.68,3.94,4.38
2023Q4,SOPHIA HILLS,9,6.29,6.9,7.14
2023Q4,SOPHIA RESIDENCE,9,4.67,4.98,6.12
2023Q4,SOUTHAVEN II,21,3.05,3.61,3.75
2023Q4,SOUTHBANK,7,5.57,5.74,6.25
2023Q4,SPACE @ KOVAN,19,4.97,5.04,5.35
2023Q4,SPANISH VILLAGE,10,3.2,3.5,3.9
2023Q4,SPOTTISWOODE 18,2,7.39,8.26,8.52
2023Q4,SPOTTISWOODE PARK,2,3.54,3.88,4.23
2023Q4,SPOTTISWOODE RESIDENCES,2,5.92,6.4,6.65
2023Q4,SPOTTISWOODE SUITES,2,6.8,7.48,7.8
2023Q4,SPRING GROVE,10,4.41,5.07,5.25
2023Q4,SPRINGDALE CONDOMINIUM,21,3.57,3.78,3.93
2023Q4,ST MARTIN RESIDENCE,10,4.49,5.2,5.66
2023Q4,ST REGIS RESIDENCES SINGAPORE,10,5.44,5.81,6.17
2023Q4,STARLIGHT SUITES,9,5.29,5.88,6.43
2023Q4,STARS OF KOVAN,19,5.33,5.46,6.19
2023Q4,STELLAR RV,10,6.54,6.7,6.91
2023Q4,STIRLING RESIDENCES,3,7.01,7.31,7.69
2023Q4,STRATUM,18,3.76,4.37,5.08
2023Q4,STURDEE RESIDENCES,8,6.4,7.15,8.1
2023Q4,SUITES @ EASTCOAST,15,6.01,6.83,7.38
2023Q4,SUITES @ NEWTON,11,5.79,6.19,6.3
2023Q4,SUMMERHILL,21,3.52,3.68,3.74
2023Q4,SUNGLADE,19,4.16,4.44,4.7
2023Q4,SUNHAVEN,16,3.2,3.27,3.38
2023Q4,SUNSHINE PLAZA,7,4.47,5.05,5.69
2023Q4,SYCAMORE TREE,15,6.44,7.46,7.81
2023Q4,SYMPHONY HEIGHTS,21,3.45,3.62,3.98
2023Q4,SYMPHONY SUITES,27,4.36,4.58,4.88
2023Q4,TANGLIN PARK,10,4.54,4.88,5.19
2023Q4,TANGLIN VIEW,3,4.81,4.93,5.2
2023Q4,TANJONG RIA CONDOMINIUM,15,4.16,4.32,4.84
2023Q4,TERESA VILLE,4,2.88,3.09,3.39
2023Q4,TERRASSE,19,4.34,4.62,5.02
2023Q4,THE ALPS RESIDENCES,18,4.92,5.53,5.9
2023Q4,THE ANCHORAGE,3,3.5,3.77,4.08
2023Q4,THE ARTE,12,3.71,3.93,4.17
2023Q4,THE ATRIA AT MEYER,15,3.73,4.09,4.19
2023Q4,THE BAYRON,9,5.5,5.75,6.05
2023Q4,THE BAYSHORE,16,3.77,3.9,4.11
2023Q4,THE BELVEDERE,15,4.53,4.75,5.03
2023Q4,THE BENCOOLEN,7,5.09,5.33,5.76
2023Q4,THE BERTH BY THE COVE,4,4.18,4.37,4.63
2023Q4,THE BLOSSOMVALE,21,3.86,4.32,4.53
2023Q4,THE BOUTIQ,9,5.9,6.25,6.83
2023Q4,THE CALROSE,26,3.21,3.72,4.12
2023Q4,THE CASCADIA,21,4.56,4.91,5.21
2023Q4,THE CATHAY RESIDENCE,9,5.3,5.5,5.79
2023Q4,THE CENTRIS,22,4.52,4.84,4.95
2023Q4,THE CLAYMORE,9,4.06,4.53,4.97
2023Q4,THE CLEMENT CANOPY,5,5.77,5.89,6.16
2023Q4,THE CLIFT,1,7.31,7.91,8.15
2023Q4,THE COAST AT SENTOSA COVE,4,4.84,5.0,5.52
2023Q4,THE COLONNADE,10,3.87,4.21,4.51
2023Q4,THE COSMOPOLITAN,9,6.2,6.56,6.81
2023Q4,THE CREEK @ BUKIT,21,4.74,5.23,6.33
2023Q4,THE CREST,3,5.43,5.96,6.36
2023Q4,THE DAIRY FARM,23,2.61,2.84,2.96
2023Q4,THE DRAYCOTT,10,3.28,3.41,3.68
2023Q4,THE ESTA,15,4.8,4.95,5.05
2023Q4,THE ESTUARY,27,3.53,3.82,4.08
2023Q4,THE FLORENCE RESIDENCES,19,5.24,5.51,5.99
2023Q4,THE FORESTA @ MOUNT FABER,4,5.47,6.24,7.2
2023Q4,THE GALE,17,3.35,3.48,3.72
2023Q4,THE GARDEN RESIDENCES,19,5.7,5.97,6.3
2023Q4,THE GARDENS AT BISHAN,20,3.85,4.03,4.19
2023Q4,THE GLADES,16,5.25,5.59,5.91
2023Q4,THE GLYNDEBOURNE,11,4.4,5.05,5.39
2023Q4,THE GRANGE,10,5.02,5.38,5.67
2023Q4,THE GREENWICH,28,3.83,4.15,4.81
2023Q4,THE HILLFORD,21,7.07,7.53,7.91
2023Q4,THE HILLIER,23,5.05,5.32,5.63
2023Q4,THE HILLSIDE,21,3.2,3.3,3.87
2023Q4,THE IMPERIAL,9,5.14,5.35,5.85
2023Q4,THE INFINITI,5,3.78,4.29,4.34
2023Q4,THE INFLORA,17,4.16,4.54,5.26
2023Q4,THE INTERLACE,4,4.27,4.69,4.98
2023Q4,THE INTERWEAVE,12,5.08,6.71,8.02
2023Q4,THE JADE,23,3.6,3.77,4.15
2023Q4,THE LAKEFRONT RESIDENCES,22,4.86,5.5,6.16
2023Q4,THE LAKESHORE,22,4.32,4.54,4.82
2023Q4,THE LANAI,23,4.07,4.18,4.31
2023Q4,THE LAURELS,9,6.87,7.14,7.36
2023Q4,THE LEVELZ,10,3.82,4.54,5.0
2023Q4,THE LINE @ TANJONG RHU,15,4.95,5.7,6.67
2023Q4,THE LUXURIE,19,4.3,4.5,4.81
2023Q4,THE MAKENA,15,3.76,3.87,4.1
2023Q4,THE MARBELLA,10,4.42,4.68,4.74
2023Q4,THE MAYFAIR,22,3.68,3.8,3.98
2023Q4,THE MERASAGA,10,4.83,5.26,5.44
2023Q4,THE METROPOLITAN CONDOMINIUM,3,4.6,5.07,5.81
2023Q4,THE METZ,9,6.98,7.4,8.08
2023Q4,THE MEYERISE,15,4.79,5.17,5.48
2023Q4,THE MILTONIA RESIDENCES,27,3.64,3.98,4.27
2023Q4,THE MINTON,19,4.08,4.33,4.49
2023Q4,THE NAUTICAL,27,4.17,4.57,5.45
2023Q4,THE OCEANFRONT @ SENTOSA COVE,4,5.1,5.94,6.23
2023Q4,THE PALETTE,18,4.13,4.31,4.55
2023Q4,THE PANORAMA,20,4.76,5.14,6.5
2023Q4,THE PARC CONDOMINIUM,5,4.22,4.69,4.8
2023Q4,THE PEAK @ CAIRNHILL II,9,5.79,6.33,6.49
2023Q4,THE PIER AT ROBERTSON,9,6.1,6.4,6.66
2023Q4,THE PLAZA,7,4.12,4.71,5.31
